line	min
190	2.2772377
191	2.6956453
192	3.067819
193	2.9803336
194	2.293428
195	2.2772377
196	2.714564
197	2.149342
198	2.2772377
199	2.2164183
200	2.714564
201	2.686061
202	2.2164183
203	2.1652453
204	2.2772377
205	2.2772377
206	2.7276762
207	2.2772377
208	2.7276762
209	2.765775
210	2.96043
211	2.2164183
212	2.714564
213	2.9803336
214	3.1034591
215	2.9803336
216	3.4995558
217	2.990834
218	2.9803336
219	3.5387027
220	3.4503047
221	3.4080834
222	3.6926234
223	3.2972763
224	3.3572972
225	2.2772377
226	2.7276762
227	3.3775222
228	3.6371188
229	2.2772377
230	2.7276762
231	3.263499
232	2.9803336
233	3.745952
234	2.990834
235	3.3848522
236	3.2199953
237	3.4109557
238	3.796747
239	3.6242106
240	3.4960415
241	3.663072
242	3.7041137
243	2.3620062
244	3.6251614
245	3.7105615
246	3.414146
247	3.0011733
248	3.7257667
249	3.4471717
250	3.680167
251	3.739634
252	2.398271
253	3.6067352
254	3.6174164
255	3.3522823
256	3.203737
257	3.761689
258	3.8262415
259	3.3623343
260	3.755555
261	3.557405
262	3.6072521
263	3.7237895
264	3.6427767
265	3.8407693
266	3.5553262
267	3.996824
268	3.8593385
269	3.5896585
270	3.7718885
271	3.498484
272	3.7771096
273	3.7409437
274	3.2825742
275	3.4197655
276	3.6793613
277	3.9084601
278	3.9719334
279	3.826686
280	3.660728
281	3.8655398
282	3.7323408
283	3.931033
284	3.5845294
285	3.7680926
286	3.6447866
287	3.7731678
288	3.9405618
289	4.0174427
290	3.965436
291	3.9832582
292	3.196848
293	4.096023
294	3.992151
295	3.4968872
296	2.3704782
297	3.5353143
298	3.7524598
299	3.517214
300	3.758995
301	3.4881523
302	3.9586782
303	3.4307995
304	3.8792942
305	3.876542
306	3.7482593
307	4.124025
308	3.7034974
309	3.8927503
310	3.886119
311	4.218836
312	4.3101926
313	4.313913
314	4.1381884
315	4.012649
316	4.2084384
317	3.9714088
318	4.0351477
319	4.051325
320	4.159218
321	4.4759617
322	3.5668557
323	4.1238213
324	4.130562
325	3.9978411
326	4.1192503
327	4.3582077
328	4.0702977
329	3.68408
330	4.1991577
331	4.2718477
332	3.6526895
333	4.225076
334	3.590115
335	3.7548695
336	3.8545156
337	4.4657483
338	4.057346
339	3.3159256
340	4.0353775
341	4.045002
342	4.3209968
343	4.119212
344	4.165772
345	4.17726
346	4.0072465
347	4.057366
348	4.0270076
349	3.708398
350	3.8911393
351	4.061006
352	4.231475
353	4.154069
354	3.7562172
355	3.1553888
356	4.3438654
357	3.4455018
358	3.785642
359	3.8384929
360	4.2605443
361	4.3328705
362	4.114314
363	4.64083
364	3.9571924
365	4.0674677
366	3.9389124
367	4.3916926
368	4.204512
369	4.557371
370	3.994143
371	4.4203796
372	3.8524933
373	3.6252265
374	4.1543794
375	3.8037467
376	3.7601244
377	3.9764705
378	3.920396
379	3.5404885
380	3.8040824
381	3.8800929
382	3.6712463
383	4.2727466
384	4.012559
385	3.5656993
386	3.5457978
387	3.8850763
388	3.7596817
389	4.1114397
390	4.090406
391	4.15373
392	4.8652396
393	4.4549646
394	3.82802
395	4.687405
396	3.79892
397	3.9187264
398	4.7478004
399	4.544869
400	4.2369423
401	4.7168827
402	4.8959427
403	5.0690765
404	3.8144321
405	4.634978
406	4.2406383
407	4.601453
408	4.0251994
409	4.0081244
410	4.035421
411	4.0602565
412	4.345101
413	3.7833624
414	4.030595
415	5.26008
416	4.0096774
417	4.4700885
418	4.152595
419	4.355891
420	4.358743
421	2.9424717
422	4.1110854
423	4.483773
424	4.796875
425	4.470565
426	4.87226
427	4.5746813
428	4.2755833
429	4.2943873
430	5.1741853
431	3.4368198
432	4.1974196
433	5.7599154
434	4.415662
435	4.5370765
436	4.590051
437	5.580615
438	4.288686
439	5.157301
440	4.4700136
441	5.5958796
442	4.718911
443	3.8202672
444	4.2162886
445	9.81618
446	6.4916472
447	5.3774877
448	4.0354533
449	4.1423535
450	4.016264
451	3.3600128
452	3.9509208
453	3.6537893
454	4.514451
455	4.7763996
456	5.9788146
457	6.4864426
458	4.4854283
459	4.8526354
460	4.0699534
461	4.4667945
462	5.2513413
463	4.0640645
464	4.3427367
465	4.6758714
466	5.0769734
467	4.754469
468	5.8395586
469	5.5474653
470	4.500832
471	4.956646
472	6.56831
473	5.429453
474	4.950609
475	4.9026003
476	8.125926
477	7.0394373
478	6.0830846
479	4.9345107
480	4.7801104
481	4.620332
482	7.216226
483	4.0989695
484	4.5691743
485	4.040676
486	5.2931733
487	4.084093
488	8.821821
489	6.9953556
490	3.7716653
491	5.506148
492	6.230377
493	6.2025957
494	4.3115497
495	4.463242
496	6.8307095
497	4.0096135
498	4.2991753
499	4.6350584
500	4.343418
501	5.0429916
502	4.1718764
503	5.227254
504	5.6025596
505	6.6235547
506	5.438461
507	3.6503909
508	3.6765125
509	5.7359285
510	5.9056726
511	5.3339
512	5.155279
513	4.8018885
514	4.8474193
515	3.7442327
516	6.2972307
517	4.0641975
518	3.6889708
519	6.1665316
520	3.9310288
521	3.8367722
522	4.7669086
523	4.890215
524	4.585287
525	5.1632466
526	4.007099
527	5.81578
528	5.8123817
529	7.1768403
530	5.5009155
531	5.5215445
532	5.315679
533	6.0326824
534	4.997148
535	4.2357335
536	4.7028627
537	4.270702
538	4.864834
539	4.3000093
540	4.81264
541	4.223715
542	7.0637355
543	3.9965649
544	5.3280015
545	7.633262
546	5.2436476
547	5.718485
548	4.8577805
549	5.176268
550	5.9161186
551	5.957993
