line	average
243	7.737082148317972
244	7.771034641644205
245	7.673140484655339
246	7.723087577052084
247	7.704838522390541
248	7.759747577388059
249	7.596511185968369
250	7.587765197693993
251	7.492938038218817
252	7.510476764244961
253	7.504748974753269
254	7.660543695480544
255	7.655860634605591
256	7.677535289772258
257	7.67286046680353
258	7.629353221592888
259	7.625905808115614
260	7.711394922259975
261	7.815832198263161
262	7.763495059127313
263	7.782693942172884
264	7.6928381551083165
265	7.653180878962402
266	7.505932473192551
267	7.55365161974157
268	7.491948931955453
269	7.550352492559137
270	7.585109265818907
271	7.746524907021746
272	7.810165658963776
273	7.959609982053012
274	7.915858251879281
275	7.911893634768347
276	7.924266345832177
277	7.832029596080622
278	7.666218234045407
279	7.6338072058101885
280	7.579820701743401
281	7.474078711482532
282	7.549941830028899
283	7.598670865949399
284	7.676723452830494
285	7.6627710754223175
286	7.739348958410458
287	7.74359069330998
288	7.798842931943215
289	7.814700743443858
290	7.882693046621266
291	7.813288959913412
292	7.812257846477047
293	7.725819561527553
294	7.660994927755548
295	7.623868805205984
296	7.7062846964782326
297	7.634479798987909
298	7.693906369639481
299	7.669461305031605
300	7.638734916742008
301	7.534995868054992
302	7.533306654583408
303	7.636791080151174
304	7.639333482877585
305	7.6384250843321295
306	7.700532840342865
307	7.80397505378898
308	7.720312684874696
309	7.690632803108727
310	7.711815469505988
311	7.5787004129461595
312	7.466992988628147
313	7.524257487190465
314	7.5875646787136715
315	7.629201306393334
316	7.923988920183932
317	7.967069443278052
318	7.841993217757003
319	8.00943788443972
320	8.019859085428369
321	7.94204101341828
322	7.934138961130377
323	8.062288268551011
324	7.912067471229039
325	7.86647370977885
326	7.708576608570236
327	7.695457679724352
328	7.64460046191823
329	7.565837906916306
330	7.599751111076431
331	7.560175658282313
332	7.557854906955782
333	7.691900420416667
334	7.741056148757394
335	7.827904745634058
336	7.737783328467391
337	7.713542128800725
338	7.605379739671937
339	7.732721559197628
340	7.584149546402598
341	7.759881483345689
342	7.739111050207477
343	7.732206907070003
344	7.594478183479095
345	7.3809749949809245
346	7.466300135686959
347	7.520776435070784
348	7.505915024069502
349	7.404795270674765
350	7.591543300640113
351	7.406588274594594
352	7.438925431250941
353	7.361816361601818
354	7.324060782829889
355	7.603187357293443
356	7.771610727023173
357	7.800457433333333
358	7.814043818181818
359	8.049432363030302
360	8.006314316742424
361	7.761792459867424
362	7.833391110321969
363	7.8475843925568185
364	7.8377070756250005
365	7.701974305625001
366	8.036104551875
367	8.005998484208334
368	8.202679259029761
369	7.929412864208333
370	7.9050348424226184
371	7.761523820190476
372	7.598245126560846
373	7.722082765989417
374	8.060587301960846
375	8.06855790044656
376	8.37439060997037
377	8.491022277933332
378	8.066327196599998
379	7.8893742602869565
380	7.84703292978261
381	7.45382122442029
382	7.328979523662715
383	7.702371398900809
384	7.67265839090909
385	7.713037332213439
386	7.79408774290909
387	7.714813131
388	7.845331108042606
389	7.91434402363158
390	8.155382139187134
391	8.109405097187134
392	8.214289435834193
393	7.742946771004472
394	7.816190539673201
395	7.503037328235294
396	7.7639654447058835
397	7.938234117647059
398	8.037790256470588
399	7.8863028035294125
400	7.771973177647058
401	7.613196083529411
402	7.547150675441176
