line	upper
133	10.092731431402969
134	10.18604159507407
135	10.215902164495988
136	10.25428960707438
137	10.225733379164788
138	10.157193679863465
139	10.11537502848584
140	10.128123266833656
141	10.116141227960014
142	10.159495367224128
143	10.138880216268953
144	10.141475076666456
145	10.146698927438933
146	10.095695447685259
147	10.057114464010445
148	9.998285940097691
149	9.969769179724997
150	9.991835864481214
151	10.009134152457136
152	9.99959970912597
153	10.037657661490334
154	10.115134502068724
155	10.057074278444778
156	10.037308138278227
157	10.010931096854152
158	10.103510548873077
159	10.107178362291075
160	10.209281791573048
161	10.240122089879264
162	10.312983918363125
163	10.35605731950251
164	10.390064454374462
165	10.396330416185911
166	10.467189191494143
167	10.482629321602719
168	10.4262597384342
169	10.420028009430183
170	10.411273785181319
171	10.364828736435927
172	10.312382444335457
173	10.28561557416404
174	10.315623188473163
175	10.262324873654318
176	10.312764954581455
177	10.323001904966764
178	10.391639289066331
179	10.329208167959218
180	10.315459473945975
181	10.354038046307334
182	10.408066919878223
183	10.30404355710208
184	10.341595331533705
185	10.424793679137228
186	10.404378989906183
187	10.393264151101096
188	10.484328281705787
189	10.423474949214398
190	10.358646622137123
191	10.246443165822663
192	10.206573331114857
193	10.212230749025723
194	10.334093600685472
195	10.3875399919044
196	10.421689168134993
197	10.540805669537907
198	10.538595471063994
199	10.48855449218473
200	10.363855768758974
201	10.404581836047381
202	10.279666806229674
203	10.293087254359989
204	10.218640750919393
205	10.435875643405128
206	10.369070719631619
207	10.516582862202108
208	10.480689114085205
209	10.520299286236932
210	10.376686244112935
211	10.43072176627465
212	10.377880124719777
213	10.413183856074847
214	10.460310899532665
215	10.518069258575837
216	10.626001369469176
217	10.629949190131159
218	10.715385464216757
219	10.81760986671365
220	10.789856406357854
221	10.669339678940565
222	10.540775172678382
223	10.342050795099018
224	10.246025199239133
225	10.306527318721486
226	10.275466456074849
227	10.400657962722574
228	10.409877965074596
229	10.490394879390612
230	10.46809932323907
231	10.565807498521895
232	10.493542959422268
233	10.555603247609975
234	10.502222619668544
235	10.542624254432571
236	10.670946982422771
237	10.783861528607115
238	10.883552172156877
239	10.877444758762271
240	10.995400907011511
241	10.820466306752353
242	10.858891922293392
243	10.718547827880666
244	10.845652882109116
245	10.666036890097036
246	10.777383385127077
247	10.692168565950432
248	10.89754266900118
249	10.610077853729397
250	10.65484142126597
251	10.47846103465685
252	10.549165794252579
253	10.434464147335984
254	10.706878890769755
255	10.673209040837843
256	10.684448065178907
257	10.594995479846945
258	10.580220266936895
259	10.5615564055929
260	10.667493407477568
261	10.875197905506907
262	10.85225021777685
263	10.906347824422346
264	10.7546489445352
265	10.794086699844602
266	10.549740596310995
267	10.619992291417258
268	10.457249259328652
269	10.559637379585082
270	10.48918528246565
271	10.791712714851808
272	10.925134654284324
273	11.184130428962236
274	11.106140624154058
275	11.077273050685182
276	11.040537238190158
277	10.87415582267013
278	10.61601107512744
279	10.471410861129922
280	10.503374140993634
281	10.389948622390282
282	10.540365555875606
283	10.58244216550278
284	10.80336028914088
285	10.779657101212369
286	10.760144518161216
287	10.739188079283748
288	10.877881554946011
289	10.911507164716241
290	10.992393608317242
291	10.923386638755032
292	11.05920554352367
293	10.932270312424825
294	10.78766353616049
295	10.737016776220454
296	10.929684989934335
297	10.62458074400291
298	10.720787115039258
299	10.673804637332722
300	10.583428559270017
301	10.432103570168653
302	10.510845059268583
303	10.592296423453645
304	10.601781894940306
305	10.60465858851091
306	10.64353691313612
307	10.78982705346617
308	10.675524005857369
309	10.532259679755807
310	10.58484398943196
311	10.367096790849445
312	10.115687609862322
313	10.212678147928479
314	10.413449193717227
315	10.396604947243002
316	10.877920512341841
317	10.975132858396968
318	10.82266116872106
319	11.073063314498658
320	11.205392546258782
321	11.079596100821334
322	11.147683926689655
323	11.28447606222157
324	11.143171510849317
325	11.104548477496495
326	10.837120620616846
327	10.786153412972018
328	10.833036680341019
329	10.62018567713315
330	10.620552831984023
331	10.542895850907728
332	10.551876376435349
333	10.64867032262046
334	10.796750090895552
