line	upper
216	10.578893612702924
217	10.592158970552399
218	10.5534626704788
219	10.679596598688228
220	10.735764546578487
221	10.802353849571876
222	11.061310662008626
223	10.73964002583154
224	10.30892112925552
225	10.113061462379806
226	9.984131639968012
227	10.324435728410503
228	10.650831334887709
229	10.382524271344813
230	10.348388072382527
231	10.320160412467377
232	10.548778020080595
233	10.796384730298891
234	10.57105581917302
235	10.411997162840523
236	10.294649785187575
237	10.570477170696286
238	10.763937247355383
239	10.992866726058587
240	11.015090348276887
241	10.826162759522841
242	10.804435246084171
243	11.043559084491964
244	10.850420596033786
245	10.673817886481597
246	10.571366562343629
247	10.771337645623479
248	10.912281740032888
249	10.67974685357869
250	10.739147076115088
251	10.871764772028886
252	10.566110865070888
253	10.305528620694862
254	10.350704805897326
255	10.47495800858161
256	10.761772553726722
257	10.960393606363825
258	10.902390854449507
259	10.29462774192021
260	10.279424106104365
261	10.501203058121686
262	10.876795920728707
263	11.120573705801197
264	11.078731491705234
265	10.74131613185257
266	10.579077855410283
267	10.63279273762458
268	10.839920894356833
269	10.566460621144726
270	10.306080110784215
271	10.347849512954419
272	10.481905458044139
273	10.91976095219933
274	11.146648959311541
275	11.3959535403309
276	11.328893798230489
277	10.934420382718475
278	10.652617506506694
279	10.982640494401789
280	10.888160470293272
281	10.267578390573696
282	9.927557978867952
283	10.37102517117218
284	10.77898489755269
285	10.980639007498198
286	10.748812248354938
287	10.585044812031136
288	10.864062510446152
289	10.670945470103533
290	10.879466452676652
291	11.043154840316923
292	11.015842525612369
293	11.15034264387423
294	10.700644155200505
295	11.046496290692717
296	11.065364024491409
297	10.336987507204428
298	10.66220880336331
299	11.055697789635115
300	10.765406210148857
301	10.543119337253714
302	10.460047240528954
303	10.318812413940211
304	10.451445121724941
305	10.583947460145271
306	10.943601470466191
307	10.687389329708266
308	10.349717826583374
309	10.555832667214474
310	11.04686862253342
311	11.02356920226931
312	10.043470895432357
313	10.123017785519849
314	10.142925444948574
315	9.873977673609325
316	10.637522594966892
317	10.787874855069624
318	10.582834783806158
319	11.304103741510112
320	11.320297451494241
321	10.499374235914942
322	11.032700995323854
323	11.539663227650458
324	11.320435707316797
